Search rep 1 (of 2)
random seed = 35522
gen	best_like	time	optPrecision
5740	-98176.58173	206	0.353
5750	-98176.53425	207	0.353
5760	-98176.39906	207	0.353
5770	-98176.32746	207	0.353
5780	-98176.26073	208	0.353
5790	-98176.26073	208	0.353
5800	-98176.24027	208	0.353
5810	-98176.24026	209	0.353
5820	-98176.24026	209	0.353
5830	-98176.20401	209	0.353
5840	-98176.12143	209	0.353
5850	-98176.12143	210	0.353
5860	-98176.12143	210	0.353
5870	-98176.08863	210	0.353
5880	-98176.06118	211	0.353
5890	-98176.03177	211	0.353
5900	-98176.02769	211	0.353
5910	-98175.99436	211	0.353
5920	-98175.98269	212	0.353
5930	-98175.98269	212	0.353
5940	-98175.98269	212	0.353
5950	-98175.98269	213	0.353
5960	-98175.94772	213	0.353
5970	-98175.94772	213	0.353
5980	-98175.79602	214	0.353
5990	-98175.69528	214	0.353
6000	-98175.69528	214	0.353
6010	-98175.6158	214	0.353
6020	-98175.46408	215	0.353
6030	-98175.46408	215	0.353
6040	-98175.46408	215	0.353
6050	-98175.46408	216	0.353
6060	-98175.46403	216	0.353
6070	-98175.46403	216	0.353
6080	-98175.40659	217	0.353
6090	-98175.39085	217	0.353
6100	-98175.39085	217	0.353
6110	-98175.04226	218	0.304
6120	-98175.01568	218	0.304
6130	-98175.01568	218	0.304
6140	-98175.00501	219	0.304
6150	-98175.00501	219	0.304
6160	-98174.99424	219	0.304
6170	-98174.98418	220	0.304
6180	-98174.98418	220	0.304
6190	-98174.98418	220	0.304
6200	-98174.97142	221	0.304
6210	-98174.97142	221	0.304
6220	-98174.94711	221	0.304
6230	-98174.94711	222	0.304
6240	-98174.94711	222	0.304
6250	-98174.94612	222	0.304
6260	-98174.9091	222	0.304
6270	-98174.90521	223	0.304
6280	-98174.89138	223	0.304
6290	-98174.81616	223	0.304
6300	-98174.70095	224	0.304
6310	-98174.70095	224	0.304
6320	-98174.58802	224	0.304
6330	-98174.54596	225	0.304
6340	-98174.50852	225	0.304
6350	-98174.50852	225	0.304
6360	-98174.50852	226	0.304
6370	-98174.50852	226	0.304
6380	-98174.46871	226	0.304
6390	-98174.46871	226	0.304
