Search rep 1 (of 5)
random seed = 60728
gen	best_like	time	optPrecision
3700	-13315.84721	40	0.01
3710	-13315.83889	40	0.01
3720	-13315.83889	40	0.01
3730	-13315.83889	40	0.01
3740	-13315.83889	40	0.01
3750	-13315.83889	40	0.01
3760	-13315.83885	40	0.01
3770	-13315.83885	40	0.01
3780	-13315.83885	41	0.01
3790	-13315.83708	41	0.01
3800	-13315.83708	41	0.01
3810	-13315.83698	41	0.01
3820	-13315.83698	41	0.01
3830	-13315.83166	41	0.01
3840	-13315.83166	41	0.01
3850	-13315.83166	42	0.01
3860	-13315.83166	42	0.01
3870	-13315.83166	42	0.01
3880	-13315.83136	42	0.01
3890	-13315.83136	42	0.01
3900	-13315.83136	42	0.01
3910	-13315.83136	43	0.01
3920	-13315.83136	43	0.01
3930	-13315.83136	43	0.01
3940	-13315.83136	43	0.01
3950	-13315.83136	43	0.01
3960	-13315.83136	43	0.01
3970	-13315.83136	43	0.01
3980	-13315.83136	44	0.01
3990	-13315.83136	44	0.01
4000	-13315.82935	44	0.01
4010	-13315.82935	44	0.01
4020	-13315.82877	44	0.01
4030	-13315.82877	44	0.01
4040	-13315.82877	44	0.01
4050	-13315.82877	45	0.01
4060	-13315.82353	45	0.01
4070	-13315.82353	45	0.01
4080	-13315.82353	45	0.01
4090	-13315.82353	45	0.01
4100	-13315.82239	45	0.01
4110	-13315.82239	46	0.01
4120	-13315.82239	46	0.01
4130	-13315.82239	46	0.01
4140	-13315.82239	46	0.01
4150	-13315.82239	46	0.01
4160	-13315.82239	46	0.01
4170	-13315.82216	46	0.01
4180	-13315.82216	47	0.01
4190	-13315.82216	47	0.01
4200	-13315.82216	47	0.01
4210	-13315.82136	47	0.01
4220	-13315.82136	47	0.01
4230	-13315.82136	47	0.01
4240	-13315.82136	48	0.01
4250	-13315.82136	48	0.01
4260	-13315.82136	48	0.01
4270	-13315.82136	48	0.01
4280	-13315.82136	48	0.01
4290	-13315.82136	48	0.01
4300	-13315.82136	48	0.01
4310	-13315.82136	49	0.01
4320	-13315.82089	49	0.01
4330	-13315.82089	49	0.01
4340	-13315.81809	49	0.01
4350	-13315.81809	49	0.01
4360	-13315.81809	49	0.01
4370	-13315.81809	49	0.01
4380	-13315.81809	50	0.01
4390	-13315.81809	50	0.01
4400	-13315.81809	50	0.01
4410	-13315.81809	50	0.01
4420	-13315.81809	50	0.01
4430	-13315.81809	50	0.01
4440	-13315.81809	51	0.01
4450	-13315.81809	51	0.01
4460	-13315.81809	51	0.01
4470	-13315.81809	51	0.01
4480	-13315.81809	51	0.01
4490	-13315.81809	51	0.01
4500	-13315.81809	51	0.01
4510	-13315.818	52	0.01
4520	-13315.818	52	0.01
4530	-13315.818	52	0.01
4540	-13315.818	52	0.01
4550	-13315.818	52	0.01
4560	-13315.81701	52	0.01
4570	-13315.81701	52	0.01
4580	-13315.81701	53	0.01
4590	-13315.81701	53	0.01
4600	-13315.81701	53	0.01
4610	-13315.81655	53	0.01
4620	-13315.81655	53	0.01
4630	-13315.81655	53	0.01
4640	-13315.81655	53	0.01
4650	-13315.81576	54	0.01
4660	-13315.81576	54	0.01
4670	-13315.81576	54	0.01
4680	-13315.81576	54	0.01
4690	-13315.81576	54	0.01
4700	-13315.81576	54	0.01
4710	-13315.81576	55	0.01
4720	-13315.81576	55	0.01
4730	-13315.81576	55	0.01
4740	-13315.81576	55	0.01
4750	-13315.81576	55	0.01
4760	-13315.81576	55	0.01
4770	-13315.81576	55	0.01
4780	-13315.81572	56	0.01
4790	-13315.81572	56	0.01
4800	-13315.81572	56	0.01
4810	-13315.81572	56	0.01
4820	-13315.81572	56	0.01
4830	-13315.81563	56	0.01
4840	-13315.81563	57	0.01
4850	-13315.81563	57	0.01
4860	-13315.81563	57	0.01
4870	-13315.81563	57	0.01
4880	-13315.81563	57	0.01
4890	-13315.81563	57	0.01
4900	-13315.8147	57	0.01
4910	-13315.8147	58	0.01
4920	-13315.8147	58	0.01
4930	-13315.8147	58	0.01
4940	-13315.8147	58	0.01
4950	-13315.8147	58	0.01
4960	-13315.8147	58	0.01
4970	-13315.8147	59	0.01
4980	-13315.8147	59	0.01
4990	-13315.8147	59	0.01
5000	-13315.8147	59	0.01
5010	-13315.8147	59	0.01
5020	-13315.81376	59	0.01
5030	-13315.81376	59	0.01
5040	-13315.81376	60	0.01
5050	-13315.81376	60	0.01
5060	-13315.81376	60	0.01
5070	-13315.81376	60	0.01
5080	-13315.81376	60	0.01
5090	-13315.81376	60	0.01
5100	-13315.81361	60	0.01
5110	-13315.81361	61	0.01
5120	-13315.81361	61	0.01
5130	-13315.81361	61	0.01
5140	-13315.81361	61	0.01
5150	-13315.81361	61	0.01
5160	-13315.81361	61	0.01
5170	-13315.81361	61	0.01
5180	-13315.8135	62	0.01
5190	-13315.81319	62	0.01
5200	-13315.81319	62	0.01
5210	-13315.81319	62	0.01
5220	-13315.81319	62	0.01
5230	-13315.81319	62	0.01
5240	-13315.81319	63	0.01
5250	-13315.81319	63	0.01
5260	-13315.81287	63	0.01
5270	-13315.81287	63	0.01
5280	-13315.81287	63	0.01
5290	-13315.81287	63	0.01
5300	-13315.81287	64	0.01
5310	-13315.81269	64	0.01
5320	-13315.81269	64	0.01
5330	-13315.81261	64	0.01
5340	-13315.81261	64	0.01
5350	-13315.81261	64	0.01
5360	-13315.81243	64	0.01
5370	-13315.81243	65	0.01
5380	-13315.81243	65	0.01
5390	-13315.81243	65	0.01
5400	-13315.81243	65	0.01
5410	-13315.81243	65	0.01
5420	-13315.81243	65	0.01
5430	-13315.81243	66	0.01
5440	-13315.81243	66	0.01
5450	-13315.81243	66	0.01
5460	-13315.81243	66	0.01
5470	-13315.81243	66	0.01
5480	-13315.81243	66	0.01
5490	-13315.81243	67	0.01
5500	-13315.80967	67	0.01
5510	-13315.80967	67	0.01
5520	-13315.80967	67	0.01
5530	-13315.80967	67	0.01
5540	-13315.80967	67	0.01
5550	-13315.80967	68	0.01
5560	-13315.80967	68	0.01
5570	-13315.80967	68	0.01
5580	-13315.80967	68	0.01
5590	-13315.80967	68	0.01
5600	-13315.80967	68	0.01
5610	-13315.80967	68	0.01
5620	-13315.80967	69	0.01
5630	-13315.80967	69	0.01
5640	-13315.80967	69	0.01
5650	-13315.80967	69	0.01
5660	-13315.80967	69	0.01
5670	-13315.80967	69	0.01
5680	-13315.80967	69	0.01
5690	-13315.80967	70	0.01
5700	-13315.80967	70	0.01
5710	-13315.80714	70	0.01
5720	-13315.80672	70	0.01
5730	-13315.80672	70	0.01
5740	-13315.80672	70	0.01
5750	-13315.80672	71	0.01
5760	-13315.80672	71	0.01
5770	-13315.80672	71	0.01
5780	-13315.80672	71	0.01
5790	-13315.80672	71	0.01
5800	-13315.80672	71	0.01
5810	-13315.80672	71	0.01
5820	-13315.80672	72	0.01
5830	-13315.80672	72	0.01
5840	-13315.80613	72	0.01
5850	-13315.80613	72	0.01
5860	-13315.80613	72	0.01
5870	-13315.80613	72	0.01
5880	-13315.80613	73	0.01
5890	-13315.80613	73	0.01
5900	-13315.80613	73	0.01
5910	-13315.80613	73	0.01
5920	-13315.80613	73	0.01
5930	-13315.80613	73	0.01
5940	-13315.80613	73	0.01
5950	-13315.80613	74	0.01
5960	-13315.80613	74	0.01
5970	-13315.80607	74	0.01
5980	-13315.80607	74	0.01
5990	-13315.80607	74	0.01
6000	-13315.80607	74	0.01
6010	-13315.80607	75	0.01
6020	-13315.80607	75	0.01
6030	-13315.80607	75	0.01
6040	-13315.80607	75	0.01
6050	-13315.80607	75	0.01
6060	-13315.80607	75	0.01
6070	-13315.80607	76	0.01
6080	-13315.80607	76	0.01
6090	-13315.80607	76	0.01
6100	-13315.80607	76	0.01
6110	-13315.80607	76	0.01
6120	-13315.80607	76	0.01
